name,Temperature,top_k,top_p,Oracle Entropy,empirical_unigram_entropy,Bigram Entropy,FBD Score,OT Distance,ref_oracle_entropy,ref_bigram_entropy,Perplexity (PPL),Round
Temp_0.2,0.2,50,0.95,1.10411321387738,6.367339049085243,9.793250696081751,0.43109813347851844,1.0671480938155473,3.5910966896944863,11.364064207960974,92.10657501220703,1
Temp_0.4,0.4,50,0.95,1.307636440807581,6.48594105859723,10.082086646974485,0.4301551375551149,1.0689750415110182,3.5910966554044137,11.364064207960974,58.46604919433594,1
Temp_0.6,0.6,50,0.95,1.8651247136071325,6.6599621522487435,10.532697594666612,0.4311459890093112,1.0783871000674097,3.5910966554044137,11.364064207960974,37.108943939208984,1
Temp_0.8,0.8,50,0.95,2.6003181353360416,6.8595245378595235,11.097908052269508,0.438584576493118,1.091839765929284,3.5910966896944863,11.364064207960974,29.447538375854492,1
Temp_1.0,1.0,50,0.95,3.0367351914957164,7.0751492654374735,11.652789162844167,0.44294018859026085,1.0981409072445536,3.5910966896944863,11.364064207960974,26.336837768554688,1
Temp_1.2,1.2,50,0.95,3.280205697822571,7.272106975832252,12.10330066211814,0.4434316144380259,1.1022653112143634,3.5910966896944863,11.364064207960974,25.428403854370117,1
Temp_1.4,1.4,50,0.95,3.4525209059238433,7.4382742952442005,12.455926776298075,0.44185782284312336,1.102308226635861,3.5910966896944863,11.364064207960974,25.60926628112793,1
Temp_1.6,1.6,50,0.95,3.6036057386398315,7.569930731429921,12.72124021850998,0.440256329208496,1.1024353765905563,3.5910966896944863,11.364064207960974,26.605770111083984,1
Temp_1.8,1.8,50,0.95,3.7412659381866455,7.665303373269847,12.912257781346012,0.4394294139431212,1.1013152201498744,3.5910966896944863,11.364064207960974,27.344099044799805,1
Temp_2.0,2.0,50,0.95,3.8611021106243135,7.744907810738633,13.059972485839735,0.43753075508059935,1.1004793510210527,3.5910966896944863,11.364064207960974,28.570209503173828,1
Temp_0.2,0.2,50,0.95,0.982665087492764,6.538881192824401,10.033212635728784,0.4271102546967014,1.0658135394878805,3.5910966896944863,11.364064207960974,86.67556762695312,2
Temp_0.4,0.4,50,0.95,1.1119543982729316,6.626871795634724,10.251583291297795,0.42595744450278605,1.0673723278086087,3.5910966896944863,11.364064207960974,58.27591323852539,2
Temp_0.6,0.6,50,0.95,1.4510179970294237,6.750329151429675,10.566657329274301,0.42648719530725865,1.0743823738292297,3.5910966896944863,11.364064207960974,40.0582275390625,2
Temp_0.8,0.8,50,0.95,2.0824870147377252,6.8937274341462365,10.985550134519317,0.4302307709543298,1.084358132100781,3.5910966896944863,11.364064207960974,33.13473892211914,2
Temp_1.0,1.0,50,0.95,2.6779521276041867,7.033618986101155,11.413078859450689,0.43675715327995324,1.0920582693041372,3.5910966896944863,11.364064207960974,29.283191680908203,2
Temp_1.2,1.2,50,0.95,3.011937449786067,7.162304147928667,11.789460625534531,0.4409762001137627,1.0983082265313666,3.5910966896944863,11.364064207960974,27.656457901000977,2
Temp_1.4,1.4,50,0.95,3.2276077102184297,7.294896920773335,12.116399051593687,0.44367391788841304,1.1013762472622624,3.5910966896944863,11.364064207960974,27.170055389404297,2
Temp_1.6,1.6,50,0.95,3.393910416340828,7.419233103306011,12.395047723151258,0.44465778235564457,1.1030710591457495,3.5910966896944863,11.364064207960974,26.724918365478516,2
Temp_1.8,1.8,50,0.95,3.533590734028816,7.5200892287320045,12.613263607062068,0.4453253960142276,1.104168671553847,3.5910966896944863,11.364064207960974,26.571718215942383,2
Temp_2.0,2.0,50,0.95,3.654645001721382,7.607598372611304,12.792043954059585,0.442898789861375,1.1023828395564212,3.5910966896944863,11.364064207960974,27.0494384765625,2
Temp_0.2,0.2,50,0.95,1.011217090177536,6.648768180512302,10.141467983558547,0.4173440169182825,1.0597983941134645,3.5910967597583356,11.364064207960974,84.89022827148438,3
Temp_0.4,0.4,50,0.95,1.1123109726175666,6.702169833438469,10.288989449546865,0.41730085851249776,1.0615342506130419,3.5910967597583356,11.364064207960974,62.344478607177734,3
